@relation Titanic_train_processed-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {male,female}
@attribute Embarked {S,C,Q}
@attribute 'Age Group' {Adult,NK,'Senior Adult',Child,Teen,Elderly}
@attribute Relatives {Low,Alone,Average,High}

@data
0,3,male,S,Adult,Low
1,1,female,C,Adult,Low
1,3,female,S,Adult,Alone
1,1,female,S,Adult,Low
0,3,male,S,Adult,Alone
0,3,male,Q,NK,Alone
0,1,male,S,'Senior Adult',Alone
0,3,male,S,Child,Average
1,3,female,S,Adult,Average
1,2,female,C,Teen,Low
1,3,female,S,Child,Average
1,1,female,S,'Senior Adult',Alone
0,3,male,S,Adult,Alone
0,3,male,S,Adult,High
0,3,female,S,Teen,Alone
1,2,female,S,'Senior Adult',Alone
0,3,male,Q,Child,High
1,2,male,S,NK,Alone
0,3,female,S,Adult,Low
1,3,female,C,NK,Alone
0,2,male,S,Adult,Alone
1,2,male,S,Adult,Alone
1,3,female,Q,Teen,Alone
1,1,male,S,Adult,Alone
0,3,female,S,Child,Average
1,3,female,S,Adult,High
0,3,male,C,NK,Alone
0,1,male,S,Adult,High
1,3,female,Q,NK,Alone
0,3,male,S,NK,Alone
0,1,male,C,Adult,Alone
1,1,female,C,NK,Low
1,3,female,Q,NK,Alone
0,2,male,S,'Senior Adult',Alone
0,1,male,C,Adult,Low
0,1,male,S,Adult,Low
1,3,male,C,NK,Alone
0,3,male,S,Adult,Alone
0,3,female,S,Adult,Average
1,3,female,C,Teen,Low
0,3,female,S,Adult,Low
0,2,female,S,Adult,Low
0,3,male,C,NK,Alone
1,2,female,C,Child,Average
1,3,female,Q,Adult,Alone
0,3,male,S,NK,Alone
0,3,male,Q,NK,Low
1,3,female,Q,NK,Alone
0,3,male,C,NK,Average
0,3,female,S,Adult,Low
0,3,male,S,Child,High
0,3,male,S,Adult,Alone
1,1,female,C,'Senior Adult',Low
1,2,female,S,Adult,Low
0,1,male,C,'Senior Adult',Low
1,1,male,S,NK,Alone
1,2,female,S,Adult,Alone
0,3,male,C,Adult,Alone
1,2,female,S,Child,Average
0,3,male,S,Child,High
0,3,male,C,Adult,Alone
0,1,male,S,'Senior Adult',Low
0,3,male,S,Child,High
0,1,male,C,NK,Alone
1,3,male,C,NK,Average
1,2,female,S,Adult,Alone
0,3,male,S,Adult,Alone
1,3,female,S,Teen,High
0,3,male,S,Adult,Average
0,2,male,S,Adult,Alone
0,3,female,S,Teen,High
0,2,male,S,Adult,Alone
0,3,male,C,Adult,Low
1,3,male,S,Adult,Alone
0,3,male,S,Adult,Alone
0,3,male,S,NK,Alone
0,3,male,S,NK,Alone
1,2,male,S,Child,Average
1,3,female,S,Adult,Alone
0,3,male,S,Adult,Alone
1,3,male,S,Adult,Alone
1,3,female,Q,NK,Alone
0,1,male,S,Adult,Alone
1,2,female,S,Teen,Alone
1,3,female,S,Adult,Average
0,3,male,S,Teen,Average
0,3,male,S,NK,Alone
1,1,female,S,Adult,High
0,3,male,S,Adult,Alone
0,3,male,S,Adult,Alone
0,3,male,S,Adult,Alone
0,1,male,S,'Senior Adult',Low
0,3,male,S,Adult,Average
0,3,male,S,'Senior Adult',Alone
0,3,male,S,NK,Alone
0,1,male,C,Elderly,Alone
1,1,male,C,Adult,Low
1,2,female,S,Adult,Low
0,2,male,S,Adult,Low
0,3,female,S,Adult,Alone
0,3,male,S,NK,Alone
0,1,male,S,Adult,Low
0,3,male,S,Adult,Alone
0,3,male,S,Adult,Average
0,3,male,S,Adult,Alone
1,3,female,S,Adult,Alone
1,3,male,S,NK,Alone
0,3,male,S,Adult,Alone
1,3,female,Q,NK,Low
0,1,male,S,'Senior Adult',Alone
0,3,female,C,Teen,Low
0,3,male,S,Adult,Alone
0,3,female,S,Adult,Low
0,3,female,C,Teen,Alone
0,3,male,S,Adult,Alone
0,3,male,Q,Elderly,Alone
0,2,male,S,Adult,Low
0,1,male,C,Adult,Low
0,3,female,S,Child,High
0,2,male,S,Adult,Average
0,3,male,S,NK,Alone
0,2,male,C,Adult,Low
1,2,female,S,Adult,Alone
0,1,male,S,'Senior Adult',Low
1,3,male,C,Teen,Low
0,3,male,Q,NK,Alone
1,3,male,S,Adult,Alone
1,3,female,C,NK,Average
0,3,male,S,'Senior Adult',Alone
0,3,male,C,Adult,Alone
0,3,male,S,Adult,Alone
0,3,female,S,'Senior Adult',Low
1,2,female,S,Adult,Low
0,2,male,S,Adult,Alone
0,2,male,C,Adult,Alone
1,1,female,S,Adult,Average
0,1,male,S,Adult,Low
0,3,male,S,Teen,Alone
0,1,male,C,Adult,Alone
0,3,female,C,NK,Average
1,3,female,S,Adult,Alone
1,3,female,S,Adult,Low
0,3,male,Q,Adult,Alone
0,2,male,S,Adult,Alone
0,2,male,S,Adult,Average
1,3,male,S,Adult,Alone
0,3,female,S,Child,Average
0,2,male,S,Adult,Average
0,2,male,S,Adult,Alone
0,2,male,S,'Senior Adult',Alone
1,1,female,S,Adult,Low
0,3,male,S,'Senior Adult',Alone
0,3,male,S,Adult,Average
0,3,male,S,NK,Alone
